Source,picture,Catalog#,Lizard_ID,Species,Sex,Status,Collection_Date,collector,Locality,Collection_Notes,Dissection_Notes,Country,Latitude,Longitude,State,elevation,County,spatial_accuracy,Study,georef_verif,SVL,insert_elbow,Tail,elbow_wrist,Tail Diam,wrist_3rd,HL,trunk,HW,Tail Circum,HL_ear_rostral,Mass_grams
UIMNH,,73980,UIMNH73980,suspectum,Male,,6-Jun-51,R. Abbuhl and E. Shannon,16 mi NE Aguila,F. A. Shannon Collection,Teste (Left) =  5.04,USA,34.0992965,-112.9998779,Arizona,821,Yavapai,10,,Yes,135,9.35,61,11.38,7.2,16.36,25.9,79,20.7,,29.8,
UIMNH,,73981,UIMNH73981,suspectum,Male,,24April1851,Betty Osborn,15 mi W Congress,F. A. Shannon Collection (CMG: location taken as literal; SLDist),Testes = 15.33 / 14.22,USA,34.1549998,-113.0657958,Arizona,841,Yavapai,15,,Yes,303,23.4,145,32.9,27.4,38.4,51.9,168,51.3,,62.2,
UIMNH,,73982,UIMNH73982,suspectum,Male,,21-May-50,Floyd Thomson,10 mi E Congress,"F. A. Shannon Collection (CMG: locality taken as literal, SLDist)",Hemipene everted / Testes = 10.51 / 6.92,USA,34.1572726,-112.6689147,Arizona,1453,Yavapai,10,,Yes,309,18.8,150,30.3,19.9,31.8,53.8,169,47.3,,59.7,
UIMNH,,73983,UIMNH73983,suspectum,Unknown,,2-Jun-57,Elias Way,"5 mi S Wickenburg, on Phoenix Hwy",F. A. Shannon Collection,Sex organs not obvious,USA,33.9274086,-112.6874542,Arizona,591,Maricopa,5,,Yes,243,17.5,119,20.9,22.6,29.3,42.6,136,39.9,,45.8,
UIMNH,,73984,UIMNH73984,suspectum,Female,,29-Apr-50,Walters,3 mi S Aguila,F. A. Shannon Collection,No eggs in oviducts,USA,33.8986319,-113.1780624,Arizona,696,Maricopa,5,,Yes,318,15.4,143,21.6,18.8,33.9,55.2,190,43.1,,55.4,
UIMNH,,73987,UIMNH73987,suspectum,Male,,4-Aug-55,"R. Abbuhl, G. Gates, and A. Maas","12 mi W, 42 mi S Navajoa",F. A. Shannon Collection,Hemipene everted / Testes = 9.74 / 12.16,Mexico,26.54754,-109.13033,Sonora,,,20,,Yes,292,17.9,131,28.2,28.2,31.2,58.7,191,50.3,,61.6,
INHS,,5895,INHS5895,suspectum,Female,,4-Apr-50,F. Thompson,"10 mi E Wickenburg (CMG; locality taken literal, SLD)",,"R.ovid = 8.6, 4.4, 9.9, 7.1, 8.2 + 3 bb size eggs. / No eggs in left",USA,33.9672812,-112.561798,Arizona,946,Maricopa,15,,Yes,292,18.8,140,27.1,26.2,32.2,48.2,190,46.3,,54.4,
INHS,,7553,INHS7553,suspectum,Male,,18-Jun-54,"P.W. Smith, D.M. Smith & A.A. Smith",18 mi SE Ajo,,Testes = 5.08 / 4.01,USA,32.1895599,-112.6448822,Arizona,646,Pima,10,,Yes,126,11.3,63,11.3,8.1,13.9,23.8,66,19.7,,24.8,
INHS,,7977,INHS7977,suspectum,Male,,5-Jun-55,Smith & Selander,Sabino Canyon Recreation Area,,Testes = 14.04 / 13.26,USA,32.230954,-110.8099079,Arizona,796,Pima,10,,Yes,252,15.8,120,18.3,26,29.4,45.9,152,40.6,,51,
INHS,,7978,INHS7978,suspectum,Male,,6-Jun-55,Smith & Selander,Sabino Canyon Recreation Area,,Testes = 5.02 / 5.78,USA,32.230954,-110.8099079,Arizona,796,Pima,10,,Yes,145,9,60,11.9,10.7,15.8,28.2,84,21.9,,27.4,
INHS,,8592,INHS8592,suspectum,Male,,12-Jun-57,"P.W. Smith, H.H. Smith & A.A. Smith",16 mi W Sonoyta,,Testes = 13.77 / 13.21,Mexico,31.7282,-113.08167,Sonora,,,25,,Yes,168,14.7,136,19.9,23.9,31.9,55.2,140,47,,56.6,
UIMNH,,24536,UIMNH24536,suspectum,Male,,24-Aug-51,R. G. Van Gelder,"6.5 mi S and 2 mi W Artesia, Graham Mountains",,Testes = 7.51 / 10.41,USA,32.6223159,-109.7355651,Arizona,1131,Graham,15,,Yes,301,21.4,140,27.6,26.8,31.8,53.4,183,49.3,,57.6,
UIMNH,,41247,UIMNH41247,suspectum,Male,,9-Jul-57,P. S. Chrapliwy and K. L. Williams,"19 mi SW Tucson, (COR RT 86)",,Testes = 5.67 / 5.68,USA,32.0593002,-111.3903808,Arizona,833,Pima,10,,Yes,190,12.2,90,18.3,14.8,24.9,38.8,109,33.4,,40,
UIMNH,,6032,UIMNH6032,suspectum,Male,,23-May-49,Max Hensley,"12.9 mi S & 5 mi E Ajo, Tuscon-Sonoita Junction"," (CMG: Why, AZ)",Testes =17.24 / 19.56 / Fully Enlarged Testes,USA,32.2650718,-112.7403259,Arizona,544,Pima,10,,Yes,273,19.2,138,31,29.6,33.3,51.2,166,47.4,,54.9,
SDSNH,,40961,SDSNH40961,suspectum,Unknown,,8/4/1949,Kauffelds and Herrmann,"Naco, near",None,Internal organs removed,USA,31.33528,-109.9475,Arizona,1410,Cochise,15,,Yes,247,13.5,117,20.2,13.9,22.5,42.9,143,31.6,,45.5,
SDSNH,,17596,SDSNH17596,suspectum,Male,,5/15/1941,"Huey, L. M.",Marinette (5 miles),Dry desert,RT: 3.3 / LT: 3.4,USA,33.595528,-112.279525,Arizona,346,Maricopa,5,,Yes,130,7.3,56,10.8,8.1,14.7,25,72,20.7,,28,
SDSNH,,25861,SDSNH25861,suspectum,Male,,6/12/1936,"Sanders, Earl","Mesa, near",Date preserved; locality uncertain,RT: 11.0 / LT: 12.8,USA,33.422218,-111.82181,Arizona,379,Maricopa,20,,Yes,245,13.5,125,23,19,28.5,45.2,134,40.3,,50.7,
SDSNH,,25862,SDSNH25862,suspectum,Male,,6/12/1936,"Sanders, Earl","Mesa, near",Date preserved; locality uncertain,RT: 8.3 / LT: 8.7,USA,33.422218,-111.82181,Arizona,379,Maricopa,20,,Yes,221,11.5,100,18.9,20.3,24.6,40.2,109,35.7,,45.7,
SDSNH,,19401,SDSNH19401,suspectum,Female,,8/2/1958,"Nokes, J. D.",Wickenburg,Date preserved,No eggs in oviduct / Large fat reserve,USA,33.9637219,-112.7554321,Arizona,669,Maricopa,5,,Yes,275,19.2,135,22.3,28.8,26.3,43.2,160,44.9,,49.9,
SDSNH,,44058,SDSNH44058,suspectum,Male,,4/24/1957,"Shaw, Charles E. and J. Savage",Arizona-Sonoran Desert Museum,None,RT: 6.5 / LT: 4.9 / Very shriveled testes,USA,32.2470708,-111.1737442,Arizona,859,Pima,1,,Yes,281,13.1,122,19.7,22.1,29.3,52.6,159,41.9,,53.4,
SDSNH,,46515,SDSNH46515,suspectum,Unknown,,5/15/1970,"Purkle, Steve",Mt. Lemon Hwy.,Donated by Ron Tremper,Juvinile / Unable to sex / Organs deteriorated,USA,32.392125,-110.69628,Arizona,2189,Pima,20,,Yes,114,6.8,50,10.8,7.3,16.7,30.1,62,19.5,,27.6,
SDSNH,,46516,SDSNH46516,suspectum,Unknown,,5/15/1970,"Purkle, Steve",Mt. Lemon Hwy.,Donated by Ron Tremper,Juvinile / Unable to sex / Organs deteriorated,USA,32.392125,-110.69628,Arizona,2189,Pima,20,,Yes,128,9.2,62,10.2,9,20.8,30.2,71,21.3,,31.5,
SDSNH,,17875,SDSNH17875,suspectum,Female,,5/11/1939,"Huey, L. M.","Organ Pipe Catus National Monument, Gray's Ranch",Sandy wash,"Eggs in oviduct / Right: 9.7, 8.6, 6.2 (3 Eggs) / Left: 12.8, 15.8, 11.7, 6.3, 5.6 (5 Eggs)",USA,31.858336,-112.741322,Arizona,436,Pima,5,,Yes,263,18.9,120,21.4,22.9,30.6,52.2,138,41.5,,50.3,
SDSNH,,12151,SDSNH12151,suspectum,Male,,7/24/2029,"Converse, J.","Tanque Verde (Mountains?), Converse Ranch",Date preserved,RT: 7.4 / LT: 9.6,USA,32.2502648,-110.7397842,Arizona,802,Pima,10,,Yes,160,19.9,122,23.2,22.8,33.6,49.6,148,42.6,,53.9,
SDSNH,,13915,SDSNH13915,suspectum,Unknown,,5/13/1930,"Cook, L. H.",Tucson,None,Organs removed; unable to sex,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,271,18.7,119,26.2,26.9,31.8,52.2,146,46.6,,59.1,
SDSNH,,22875,SDSNH22875,suspectum,Female,,8/29/1934,"Cook, L. H.",Tucson,Date preserved,One bb sized egg in left oviduct,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,149,14.3,126,19.9,22.6,28.2,47.9,126,39.6,,51.9,
SDSNH,,29227,SDSNH29227,suspectum,Male,,6/24/1938,"Reidy, Mrs.",Tucson,None                                                       n,RT: 5.1 / LT: 6.1 / (Juvinlie),USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,126,8.24,52,9.1,8.5,11.5,28.1,59,19.7,,26.5,
SDSNH,,43943,SDSNH43943,suspectum,Male,,7/4/1959,Unknown,Tucson,Date preserved,Stubby Tail / RT: 9.1 / LT: 12.9,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,284,20.2,0,22.3,25.5,29.8,51.4,172,45.3,,54.4,
SDSNH,,57029,SDSNH57029,suspectum,Unknown,,9/12/1972,"Garstka, Bill",Tucson,Donated by B. Garstka; W. of I-19 on Cortaro RD.,Unable to determine sex (Juvinile),USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,118,9.8,56,11.9,10.3,15.6,24.8,75,17.4,,26.4,
SDSNH,,41166,SDSNH41166,suspectum,Female,,3/24/1949,Kauffelds and Kauffelds,"Tucson, 21.5 mi. SW. of",On Ajo Rd.; 9:15pm,No eggs in oviducts,USA,32.061167,-111.390718,Arizona,808,Pima,5,,Yes,270,18.8,161,20,28.3,30,49.3,148,42.1,,50.3,
SDSNH,,40960,SDSNH40960,suspectum,Female,,7/22/1949,Kauffelds and Herrmann,"Tucson, 23 mi. SW. of",On Ajo Rd.,No eggs in oviducts / Most organs removed,USA,32.052293,-111.414357,Arizona,816,Pima,5,,Yes,263,16.8,129,21.4,29.3,30.1,49.1,120,46.7,,50.7,
SDSNH,,32531,SDSNH32531,suspectum,Female,,8/22/1939,"Arnold, Lee",Xavier,Date preserved,No eggs in oviducts,USA,31.97361,-111.09444,Arizona,1081,Pima,10,,Yes,245,16.2,119,19,25.3,26.5,44.3,119,40.4,,50.4,
SDSNH,,42681,SDSNH42681,suspectum,Female,,10/30/1953,Unknown,Coolidge,Date preserved,Large fat tail / No eggs in oviduct,USA,32.977507,-111.517266,Arizona,433,Pinal,5,,Yes,325,19.9,135,20.5,35.7,26.2,50.8,177,51.8,,59.2,
SDSNH,,19244,SDSNH19244,suspectum,Male,,4/5/1958,"Lindsay, G. et al.",Florence,Date preserved; D.O.R.,RT: 12.1 / 12.7,USA,33.0308295,-111.3704681,Arizona,462,Pinal,10,,Yes,261,16.9,130,24,21.2,28.8,45.9,147,40.3,,50.5,
SDSNH,,62315,SDSNH62315,suspectum,Male,,6/7/1979,"Rea, A.M., Schmalzel, R.","Florence Prison, 6.1mi. E of",None,Everted Hemipene / RT: 12.3 / LT: 20.2 / Smashed Head,USA,33.0649312,-111.3242912,Arizona,468,Pinal,10,,Yes,300,21,157,26,30.4,32.3,47.6,185,54.1,,57.5,
SDSNH,,29449,SDSNH29449,suspectum,Unknown,,7/3/1938,"Klauber, L. M. and Party","Oracle Junction, 9 mi. N. of",D.O.R.,"Small individual, no obvious sex organs",USA,32.686115,-110.927292,Arizona,1145,Pinal,10,,Yes,132,8.5,56,9.2,7,14.6,29.5,72,18.4,,28.1,
SDSNH,,27175,SDSNH27175,suspectum,Male,,6/5/1937,"Gander, F. F. and L. M. Klauber","Owlhead, 7 mi. NW. of",Locality taken as Owl Head Buttes;CMG,RT: 11.4 / LT: 9.5,USA,32.667923,-111.216613,Arizona,703,Pinal,10,,Yes,232,18.37,113,21.22,24.53,25.11,45.01,131,41.48,,44.89,
SDSNH,,17124,SDSNH17124,suspectum,Female,,5/16/1937,"Huey, L. M.",Picacho,None,"RT Oviduct w/ 2 eggs = 13.3, 11.4",USA,32.7157,-111.494381,Arizona,490,Pinal,5,,Yes,259,18.5,120,19.6,20,27.4,45.9,146,39.9,,52.8,
SDSNH,,63389,SDSNH63389,suspectum,Female,,Unknown,"Mahrdt, C.R.","Picacho, 4mi. N of",None,No eggs in oviduct,USA,32.739264,-111.557939,Arizona,477,Pinal,5,,Yes,245,16.7,109,22.3,17.3,28.7,46.9,130,47.9,,49.7,
SDSNH,,48215,SDSNH48215,suspectum,Male,,6/2/1973,"Hill, R.H.","Hermosillo, 25mi. S of",None,Hemipene everted / RT: 12.2 / LT: 10.1,Mexico,28.69482,-110.99829,Sonora,,,10,,Yes,298,19.5,139,23.1,30.6,33.5,53.3,142,50.1,,56.5,
SDSNH,,40033,SDSNH40033,suspectum,Male,,5/28/1949,"Klauber, L. M. and P. M. Klauber","Magdelena, 7 mi. NE. of",None,RT: 2.8 / LT: 2.1,Mexico,30.70816,-110.8762,Sonora,,,10,,Yes,130,11.1,55,13.7,8.8,18,27.5,74,19.7,,29.1,
SDSNH,,18191,SDSNH18191,suspectum,Male,,4/27/1947,"Harrison, Ed","Nogales, 40 miles south of",None,RT: 13.0 / LT: 18.0,Mexico,30.75975,-110.85715,Sonora,,,20,,Yes,222,16.9,123,23.1,25.3,31.2,48.1,115,41.8,,53.9,
SDSNH,,25599,SDSNH25599,suspectum,Male,,5/16/1936,"Beck, D. E.",Bloomington,None,RT: Not Vis / LT: 10.3,USA,37.055556,-113.6041666,Utah,777,Washington,10,,Yes,237,12.7,121,18.5,12.8,24.5,39.5,140,35.2,,44.6,
KU,,73770,KU73770,horridum,Female,,6/28/1962,,Matatan,,"R Oviduct (10 eggs): ~10 sub bb, L Oviduct (15 eggs): ~15 sub bb",Mexico,23.0333338,-105.7499924,Sinaloa,,,1,,Yes,248,15.89,193,24.06,16.61,30.48,42.95,134,36.02,,47.25,
KU,,78905,KU78905,horridum,Female,,7/19/1963,,5 km SW San Ignacio,,"R Oviduct (26 eggs): 8 bb sized, 10+ sub bb sized, 8 eggs ~ 9.87 / L Oviduct (13 eggs): 10 bb sized, 8.14, 7.74, 8.88",Mexico,23.8958827,-106.4726257,Sinaloa,,,5,,Yes,309,20.32,223,27.01,24.23,36.92,52.08,176,47.08,,56.41,
KU,,78906,KU78906,horridum,Female,,7/19/1963,,5 km SW San Ignacio,,"R Oviduct (16 eggs): 4 bb sized, 10 sub bb sized, 9.06, 6.44 / L Oviduct No Eggs / Head missing",Mexico,23.8958827,-106.4726257,Sinaloa,,,5,,Yes,,18.52,191,23.56,17.78,31.08,,154,,,,
KU,,80743,KU80743,horridum,,,12/2/1963,,13 km NNE Vaca,,"Organs fully removed, could not sex",Mexico,26.8620555,-108.4233856,Sinaloa,,,5,,Yes,335,25.79,254,31.43,33.81,43.95,63.49,192,58.48,,68.43,
KU,,23628,KU23628,suspectum,Female,,4/19/1948,,0.5 mi SE San Jose de Guaymas,,"R Oviduct: empty / L Oviduct (9): 6 bb sized, 16.22, 12.39, 17.14",Mexico,27.97279,-110.87805,Sonora,44,,5,,Yes,322,18.57,136,25.49,26.28,34.2,52.04,189,50.3,,58.96,
KU,,23638,KU23638,suspectum,Female,,4/17/1948,,0.5 mi NW San Jose de Guaymas,,"R Oviduct (9 eggs): 5 bb sized, 14.69, 16.48, 15.43, 9.80 / L Oviduct (3 eggs): 18.8, 9.46, 17.74",Mexico,27.9727238,-110.9377098,Sonora,21,,5,,Yes,290,13.6,142,26.24,29.65,33.44,51.67,153,47.6,,56.32,
KU,,40365,KU40365,suspectum,Male,,6/18/1955,,"5.5 mi N, 5 mi W Guaymas",point moved inland (north) slightly to make up with soil layers.,RT: 14.93/ LT: 12.54,Mexico,27.98448,-111.01293,Sonora,1,,5,,Yes,294,18.36,146,22.27,23.6,33.7,55.37,163,47.36,,61.09,
KU,,51912,KU51912,horridum,Male,,7/24/1959,,5 mi NW Guaymas,,RT: 17.74/ LT: 12.03,Mexico,27.9659013,-110.9529876,Sonora,12,,5,,Yes,294,21.92,221,27.84,21.3,38.47,52.05,155,48.51,,58.19,
KU,,152635,KU152635,suspectum,,,4/22/1973,,28.8 km W Caborca on Rt 5,,"Not dissected at request of collections manager, could not sex/ Tail partially removed",Mexico,30.770749,-112.5374221,Sonora,147,,15,,Yes,300,18.48,,21.81,,31.13,52.34,195,42.77,,57.19,
KU,,772,KU772,suspectum,,,unknown,,Baboquivari Mts,,"Organs fully removed, could not sex",United States,31.81984362,-111.5401619,Arizona,,Pima,20,,Yes,333,24.32,165,30.78,30.69,39.18,54.15,190,49.88,,61.82,
KU,,784,KU784,suspectum,Male,,7/28/1927,,"Mescal, Kiper Springs",,RT: 8.33/ LT: 6.49,United States,32.052439,-110.393719,Arizona,1127,Cochise,10,,Yes,205,12.4,110,20.31,18.5,25.11,38.48,132,37.49,,43.66,
KU,,785,KU785,suspectum,Female,,5/10/1928,,Phoenix,,"R Oviduct (8 eggs): 1 bb, 7 sub bb / L Oviduct (9 eggs): 6 bb, 3 sub bb",United States,33.4479145,-112.0744514,Arizona,336,Maricopa,20,,Yes,132,11.44,116,20.84,18.96,27.2,42.38,148,37.82,,45.71,
KU,,8278,KU8278,suspectum,Male,,7/1/1928,,"18 mi NE Tucson, Santa Catalina Mts",,RT: 18.12 / LT: 10.39,United States,32.536767,-110.720053,Arizona,1447,Pima,10,,Yes,295,19.89,120,27.35,27.17,33.84,50.01,168,50.99,,56.01,
KU,,15389,KU15389,suspectum,,,7/12/1931,,25 mi SW Tucson,,"Not dissected at request of collections manager, could not sex",United States,32.120775,-111.203095,Arizona,746,Pima,10,,Yes,164,9.3,70,12.6,11.27,17.78,30.54,88,24.79,,31.98,
KU,,22963,KU22963,suspectum,Male,,2/26/1943,,15 mi E Florence,,RT: 16.17/ LT: 13.25,United States,33.029008,-111.125867,Arizona,730,Pinal,5,,Yes,293,16.73,133,29.22,27.14,31.44,49.34,159,51.66,,58.32,
KU,,43818,KU43818,suspectum,,,5/20/1955,,25 mi SE Globe,,"Headless, organs removed",United States,33.2834719,-110.3562927,Arizona,967,Gila,20,,Yes,,15.67,109,16.23,24.2,30.61,,149,,,,
KU,,49587,KU49587,suspectum,Male,,7/3/1956,,Dos Cabezas,,RT: 9.87/ LT:8.12,United States,32.175065,-109.612564,Arizona,1547,Cochise,5,,Yes,240,12.28,112,19.77,23.79,29.99,46.14,121,43.1,,50.8,
KU,,50440,KU50440,suspectum,Female,,5/21/1955,,32 mi E Phoenix,,"R Oviduct: empty / L Oviduct (1 egg) 1 bb sized / Roadkill, mostly liquified guts",United States,33.419706,-111.542778,Arizona,533,Maricopa,20,,Yes,270,19.53,130,25.49,27.42,30.32,48.5,155,50.7,,55.74,
KU,,193454,KU193454,suspectum,Male,,7/1/1975,,"Tucson, Camino Real, ca 1 km W River Rd",,RT: 6.17/ LT:4.89,United States,32.2868423,-110.9367656,Arizona,726,Pima,5,,Yes,132,7.87,51,11.2,10.74,15.59,25.6,84,19.8,,25.83,
KU,,74698,KU74698,suspectum,Female,,4/6/1963,,8.2 mi S Road Forks,,"R Oviduct (7 eggs): 4 bb sized, 16.70, 19.88, 13.74 / L Oviduct (12 eggs): 7 bb sized, 2 sub bb sized, 21.19, 20.98, 21.56",United States,32.124935,-108.937878,New Mexico,1329,Hidalgo,10,,Yes,329,18.98,142,28.05,24.55,36.48,50.52,208,50.07,,59.02,
ASU,ASU8276.JPG,8276,ASU8276,horridum,F,,6/27/1964,Lieberman,"Mexico, Sonora, Alamos Road. ",,,Mexico,27.0933636,-109.1230773,Sonora,259,,10,,Yes,176,10.9,125,13.4,11.2,20,32.5,100,28.6,,35.3,
ASU,ASU2103.JPG,2103,ASU2103,horridum,F,,1956,AE Damman,"Colima, Mexico (no other locality given)",CMG: georefed as Colima City,empty and reduced oviducts,Mexico,19.23466,-103.7246704,Colima,,,10,,Yes,391,24.9,250,32.5,26,35.8,57.3,219,55.1,,67.7,
ASU,ASU34316.JPG,34316,ASU34316,suspectum,F,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt ovid = 7bb's, rt ovid = 5bb's",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,300,16.7,140,22.2,20.5,28.7,46.4,180,40.3,,53.4,
ASU,ASU34317.JPG,34317,ASU34317,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 10.5, rt teste = 9.7",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,313,18.9,,25.1,19.7,31.4,51,183,43.2,,56.6,
ASU,ASU34319.JPG,34319,ASU34319,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 9.5, rt teste = 7.7",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,335,19.1,150,27.2,26,32.6,52.6,220,47,,62.3,
ASU,ASU34314.JPG,34314,ASU34314,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 20.2, rt teste = 17.9; missing leg",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,311,21.5,147,24.1,29.1,36.1,49.5,179,51.3,,59.4,
ASU,ASU34321.JPG,34321,ASU34321,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 6.7, rt teste = 8.9",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,255,16.8,120,17.6,23,25.2,43.1,146,41.5,,49.7,
ASU,ASU34311.JPG,34311,ASU34311,suspectum,F,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,empty oviducts,USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,225,14.4,0,18.1,,22.8,38,145,33.3,,43.1,
ASU,ASU34320.JPG,34320,ASU34320,suspectum,F,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt ovid = 7 pea sized follicles, rt ovid = 4 peas",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,325,19.4,151,21.7,31.5,30.6,51.1,180,46.4,,57.6,
ASU,ASU34313.JPG,34313,ASU34313,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 11.1, rt teste = 11.6",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,293,17.9,139,21.8,25.9,33.4,54.6,179,49.8,,55.8,
ASU,ASU34514.JPG,34514,ASU34514,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 6.0, rt teste = 7.6",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,270,16.1,121,20.6,18.3,26.2,46.5,160,38.8,,51.2,
ASU,ASU34322.JPG,34322,ASU34322,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 16.6, rt teste = 18.9",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,317,21.7,147,27.4,28.3,32.1,51,180,49.7,,56.6,
ASU,ASU34516.JPG,34516,ASU34516,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 7.8, rt teste = 6.8",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,315,20.9,150,24.2,21.4,29.5,53.1,193,45.1,,57.9,
ASU,ASU34517.JPG,34517,ASU34517,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 8.9, rt teste = 7.6",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,332,20.7,160,25,26.1,36.9,55.4,200,45.9,,62.9,
ASU,ASU34518.JPG,34518,ASU34518,suspectum,unk,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,guts liquified,USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,298,18.5,129,21.8,22.2,30,49.6,180,41.2,,56.1,
ASU,ASU34515.JPG,34515,ASU34515,suspectum,unk,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,guts liquified,USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,270,20.4,130,21.5,22.7,30,45,150,41.7,,51.7,
ASU,ASU34512.JPG,34512,ASU34512,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 7.6, rt teste = 7.7",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,275,17.9,125,21,19.7,26.9,44.3,162,36.2,,51.2,
ASU,ASU34511.JPG,34511,ASU34511,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 6.3, rt teste = 6.3",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,270,16.2,120,17.7,24.1,28.4,46.4,158,38.3,,51.7,
ASU,ASU34510.JPG,34510,ASU34510,suspectum,M,,1973,"Vitt, Hulse, Congdon, and Platz",Painted Rock Reservoir,Salvaged during reservoir filling-flooding,"lt teste = 7.7, rt teste = 8.3",USA,33.07306,-113.01111,Arizona,165,Maricopa,10,,Yes,265,17.2,130,18.8,22.8,28.9,46.7,160,37.8,,51,
CMG,,957,CMG957,horridum,Female,,8/3/2007,,Near km marker 36 on SON 162 (Alamos to Navojoa Rd.). est of km marker 36 by ~100m.,"DNA = liver tissue. Captured by J.Maldonado. Very fresh carcass, all organs in tact. good data.  Stomach empty, but intestines full of digesta.  No. veg. data taken.",lt. ovid. = 6 follicles. rt. ovid. = 5 follicles.  follicle size = 14.6mm. follicles all white; prob not yolked (see pics),Mexico,27.08499,-109.08773,Sonora,334,,,,,357,31,267,34.2,29.4,40.8,60.2,214,57.1,,65.4,875
CMG,,958,CMG958,horridum,Female,,8/4/2007,,0.4 km east of kilometer marker 38 on SON 162 (Alamos to Navojoa rd.),DNA = liver. CMG and S. Cohen road cruising. Stomach contents: 9 misc. squamate eggs @~16.3mm each. 3 other misc. squamate eggs @~26.8mm each with partially calcareous shells.,lt. ovid. = 5 eggs (8.1mm each plus 4 follicles). rt. ovid. = 3 eggs (8.9 mm each plus 10 follicles),Mexico,27.07377,-109.06235,Sonora,382,,,,,374,27.2,270,36.8,28.9,36.1,55.4,210,58,,62.7,725
CMG,,959,CMG959,horridum,Male,,8/7/2007,,"Rancho Palmarito, near arroyo.",Gabby saw another one!,both hemipenes popped,Mexico,27.03075,-108.78926,Sonora,465,,,,,381,24.3,280,33.4,34.3,42,57.2,204,58.1,,63.5,915
CMG,,960,CMG960,horridum,Female,,8/7/2007,,Rancho Palmarito; arroyo,Found by Pancho Zavala. No veg data taken.,Looks female; no hemipenes.,Mexico,27.03823,-108.79151,Sonora,451,,,,,289,18.7,190,25.9,20.4,34.1,48,188,44,,51.5,360
CMG,,961,CMG961,horridum,Female,,8/9/2007,,AOR; crossing road on SON 162 near km 39 marker. (Alamos to Navojoa rd.),"really squirmy during measurements. If point is wonky, discount it as a female. Both mammal hair and egg shell fragments in feces.","‘looks’ female; not able to pop any hemipenes, but tried many times",Mexico,27.07322,-109.06141,Sonora,390,,,,,288,16.7,219,26.2,23.4,33.2,47.3,164,48.1,,54.2,355
